@RELATION nothing 
@ATTRIBUTE webpage string
@ATTRIBUTE rating {1,-1}
@ATTRIBUTE tweet string
@ATTRIBUTE uid string
@ATTRIBUTE lda real
@ATTRIBUTE language_model real
@ATTRIBUTE tweet_length integer
@ATTRIBUTE chars integer
@ATTRIBUTE isverified {true,false}
@ATTRIBUTE followers_count integer
@ATTRIBUTE statuses_count integer
@ATTRIBUTE listed_count integer
@ATTRIBUTE friends_count integer
@ATTRIBUTE absolute_time_difference integer
@ATTRIBUTE relative_time_difference integer
@ATTRIBUTE binary_decision {1.0,-1.0}
@ATTRIBUTE capped_time_after integer
@ATTRIBUTE contains_url {true,false}
@ATTRIBUTE url_count integer
@ATTRIBUTE hashtag_count integer
@DATA
"http://www.washingtonpost.com/world/scores-dead-in-egypt-after-security-forces-launch-assault-on-protesters-camp/2013/08/15/563c95a0-0575-11e3-a07f-49ddc7417125_story.html?Post+generic=%3Ftid%3Dsm_twitter_washingtonpost",1,"52add50e00323226c430780c","9d446b2940cf44b184cbc8f3fe05e376",0.7433729712433723,-6.173043787023246,12.0,136.0,false,85.0,5364.0,4.0,60.0,122801000.0,122801000.0,1.0,122801000.0,false,1.0,2.0
"http://www.washingtonpost.com/world/scores-dead-in-egypt-after-security-forces-launch-assault-on-protesters-camp/2013/08/15/563c95a0-0575-11e3-a07f-49ddc7417125_story.html?Post+generic=%3Ftid%3Dsm_twitter_washingtonpost",-1,"52ae091c00323226c54b5e2a","9d446b2940cf44b184cbc8f3fe05e376",0.0,-8.140435349029589,12.0,136.0,false,85.0,5364.0,4.0,60.0,2398871000.0,2398871000.0,1.0,2398871000.0,false,1.0,2.0
"http://www.washingtonpost.com/world/scores-dead-in-egypt-after-security-forces-launch-assault-on-protesters-camp/2013/08/15/563c95a0-0575-11e3-a07f-49ddc7417125_story.html?Post+generic=%3Ftid%3Dsm_twitter_washingtonpost",1,"52ae094300323226c54c264b","9d446b2940cf44b184cbc8f3fe05e376",0.9684464403889255,-6.769486842033924,9.0,90.0,false,760.0,142144.0,26.0,1.0,2404404000.0,2404404000.0,1.0,2404404000.0,false,1.0,3.0
"http://www.washingtonpost.com/blogs/worldviews/wp/2013/08/26/new-poll-syria-intervention-even-less-popular-than-congress/",1,"52ae026a00323226c529fe07","9d446b2940cf44b184cbc8f3fe05e376",0.9848817071604421,-7.458674122967772,13.0,118.0,false,73.0,1454.0,2.0,54.0,1191969000.0,1191969000.0,1.0,1191969000.0,false,1.0,1.0
"http://www.washingtonpost.com/blogs/worldviews/wp/2013/08/26/new-poll-syria-intervention-even-less-popular-than-congress/",1,"52adf1b800323226c4d36e31","9d446b2940cf44b184cbc8f3fe05e376",0.9796021690932433,-8.144659126183029,14.0,136.0,false,326.0,9662.0,8.0,203.0,482483000.0,482483000.0,1.0,482483000.0,false,1.0,2.0
"http://www.washingtonpost.com/blogs/worldviews/wp/2013/08/26/new-poll-syria-intervention-even-less-popular-than-congress/",1,"52adff3f00323226c51921f8","9d446b2940cf44b184cbc8f3fe05e376",0.9927809901328384,-7.767155960465501,12.0,136.0,false,0.0,34.0,0.0,10.0,1042490000.0,1042490000.0,1.0,1042490000.0,false,2.0,2.0
"http://www.washingtonpost.com/blogs/worldviews/wp/2013/08/26/new-poll-syria-intervention-even-less-popular-than-congress/",1,"52ade73100323226c49830ef","9d446b2940cf44b184cbc8f3fe05e376",0.9835763145865547,-6.865318393269069,11.0,139.0,false,1555.0,44198.0,81.0,1946.0,7834000.0,7834000.0,1.0,7834000.0,false,1.0,1.0
"http://www.washingtonpost.com/blogs/worldviews/wp/2013/08/26/new-poll-syria-intervention-even-less-popular-than-congress/",1,"52adf87800323226c4f44dd1","9d446b2940cf44b184cbc8f3fe05e376",0.9835763145865547,-6.56656855330388,14.0,136.0,false,4173.0,40582.0,16.0,1118.0,754247000.0,754247000.0,1.0,754247000.0,false,1.0,2.0
"http://www.washingtonpost.com/blogs/worldviews/wp/2013/08/26/new-poll-syria-intervention-even-less-popular-than-congress/",1,"52adee7900323226c4c1718d","9d446b2940cf44b184cbc8f3fe05e376",0.9785489926670264,-7.344922843916875,11.0,126.0,false,1158.0,20263.0,16.0,1563.0,334473000.0,334473000.0,1.0,334473000.0,false,1.0,5.0
"http://www.washingtonpost.com/blogs/worldviews/wp/2013/08/26/new-poll-syria-intervention-even-less-popular-than-congress/",1,"52ade48b00323226c48abcfc","9d446b2940cf44b184cbc8f3fe05e376",0.9926666511018598,-6.604231426399688,13.0,136.0,false,606.0,67571.0,22.0,45.0,104456000.0,-104456000.0,-1.0,0.0,false,1.0,2.0
"http://www.washingtonpost.com/blogs/worldviews/wp/2013/08/26/new-poll-syria-intervention-even-less-popular-than-congress/",-1,"52adc84900323226c41160ce","9d446b2940cf44b184cbc8f3fe05e376",0.0,-7.097573540095803,14.0,134.0,false,376.0,21330.0,5.0,690.0,1071022000.0,-1071022000.0,-1.0,0.0,false,1.0,1.0
"http://www.washingtonpost.com/blogs/worldviews/wp/2013/08/26/new-poll-syria-intervention-even-less-popular-than-congress/",1,"52adeb8500323226c4af9f9d","9d446b2940cf44b184cbc8f3fe05e376",0.9835763145865546,-6.524840962249033,11.0,140.0,false,300.0,7474.0,1.0,574.0,195810000.0,195810000.0,1.0,195810000.0,false,1.0,1.0
"http://www.washingtonpost.com/blogs/worldviews/wp/2013/08/26/new-poll-syria-intervention-even-less-popular-than-congress/",1,"52adedac00323226c4bc91f7","9d446b2940cf44b184cbc8f3fe05e376",0.9835763145865548,-6.334354606214204,7.0,89.0,false,160.0,5706.0,4.0,130.0,297905000.0,297905000.0,1.0,297905000.0,false,1.0,1.0
"http://www.washingtonpost.com/blogs/worldviews/wp/2013/08/26/new-poll-syria-intervention-even-less-popular-than-congress/",1,"52adec2800323226c4b34841","9d446b2940cf44b184cbc8f3fe05e376",0.962290015032302,-6.810532573057301,13.0,137.0,false,643.0,12979.0,7.0,539.0,226459000.0,226459000.0,1.0,226459000.0,true,1.0,2.0
"http://www.washingtonpost.com/blogs/worldviews/wp/2013/08/26/new-poll-syria-intervention-even-less-popular-than-congress/",-1,"52add8f100323226c446a12e","9d446b2940cf44b184cbc8f3fe05e376",0.0,-7.31789668002566,12.0,136.0,false,326.0,9662.0,8.0,203.0,647721000.0,-647721000.0,-1.0,0.0,false,1.0,2.0
"http://www.washingtonpost.com/blogs/worldviews/wp/2013/08/26/new-poll-syria-intervention-even-less-popular-than-congress/",1,"52adf85500323226c4f36580","9d446b2940cf44b184cbc8f3fe05e376",0.9835763145865549,-6.872688821074656,11.0,113.0,false,83.0,6109.0,9.0,403.0,747518000.0,747518000.0,1.0,747518000.0,false,1.0,1.0
"http://www.washingtonpost.com/blogs/worldviews/wp/2013/08/26/new-poll-syria-intervention-even-less-popular-than-congress/",1,"52ade97a00323226c4a3c39f","9d446b2940cf44b184cbc8f3fe05e376",0.9904979473458582,-6.85054179244398,8.0,96.0,false,329.0,5747.0,5.0,158.0,102063000.0,102063000.0,1.0,102063000.0,false,1.0,1.0
"http://www.washingtonpost.com/blogs/worldviews/wp/2013/08/26/new-poll-syria-intervention-even-less-popular-than-congress/",1,"52adf17300323226c4d1f3c9","9d446b2940cf44b184cbc8f3fe05e376",0.9835763145865549,-6.457622814885879,10.0,97.0,false,293.0,82963.0,5.0,173.0,470170000.0,470170000.0,1.0,470170000.0,false,1.0,1.0
"http://www.washingtonpost.com/blogs/worldviews/wp/2013/08/26/new-poll-syria-intervention-even-less-popular-than-congress/",1,"52ae040700323226c53218c3","9d446b2940cf44b184cbc8f3fe05e376",0.9835763145865548,-6.600803675670337,11.0,136.0,false,1695.0,220303.0,71.0,5.0,1256206000.0,1256206000.0,1.0,1256206000.0,false,1.0,2.0
